direction,bns_section_id,bns_title,ipc_section_id,ipc_title,bridge_kind,mapping_note
bns_to_ipc,31,Communication made in good faith.,422,Fraudulently preventing from being made available for his creditors a debt or demand due to the offender,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
bns_to_ipc,39,When such right extends to causing any harm other than death.,394,"Person voluntarily causing hurt in committing or attempting to commit robbery, or any other person jointly concerned in such robbery",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
bns_to_ipc,42,When such right extends to causing any harm other than death.,394,"Person voluntarily causing hurt in committing or attempting to commit robbery, or any other person jointly concerned in such robbery",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
bns_to_ipc,52,Abettor when liable to cumulative punishment for act abetted and for act done,511,"Attempting to commit offences punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 7)
bns_to_ipc,65,Punishment for rape in certain cases,165a,Punishment for abetment of offences punishable under section 161 or section 165,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
bns_to_ipc,73,Printing or publishing any matter relating to Court proceedings without permission.,149,"If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 6)
bns_to_ipc,9,Limit of punishment of offence made up of several offences.,511,"Attempting to commit offences punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
bns_to_ipc,95,"Hiring, employing or engaging a child to commit an offence.",511,"Attempting to commit offences punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 6)
ipc_to_bns,143,Trafficking of person.,11,“Person”,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 6)
ipc_to_bns,128,Force.,12,"Subs. by s. 51, ibid., for the Explanation (w.e.f. 27-10-2009).",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,2,Definitions,13,[Definition of “Queen”.] Omitted by the A. O. 1950.,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,62,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.,165a,Punishment for abetment of offences punishable under section 161 or section 165,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 7)
ipc_to_bns,46,Abettor.,2,"The words “British India” have successively been subs. by the A.O. 1 948, the A.O. 1950 and Act 3 of 1951, s. 3 and  the Sch.,",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,270,Public nuisance.,21,“Public servant ”,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 6)
ipc_to_bns,46,Abettor.,216b,"Repealed by the Indian Penal Code (Amendment) Act, 1942 (8 of 1942), S. 3.",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
ipc_to_bns,113,Terrorist act.,3,"Ins. by Act 8 of 1913, s. 3.",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
ipc_to_bns,143,Trafficking of person.,301,"If a person, by doing anything which he intends or knows to be likely to cause death, c...",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,46,Abettor.,310,"Whoever, at any time after the passing of this Act, shall have been habitually associat...",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
ipc_to_bns,113,Terrorist act.,32,Words referring to acts include illegal omissions,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
ipc_to_bns,113,Terrorist act.,33,“Act”. “Omission”,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
ipc_to_bns,143,Trafficking of person.,339,Whoever voluntarily obstructs any person so as to prevent that person from proceeding i...,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,143,Trafficking of person.,34,Acts done by several persons in furtherance of common intention,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,143,Trafficking of person.,340,Whoever wrongfully restrains any person in such a manner as to prevent that person from...,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,113,Terrorist act.,36,Effect caused partly by act and partly by omission,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
ipc_to_bns,143,Trafficking of person.,376da,"\""Where a woman under sixteen years of age is raped by one or more persons constituting ...",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,143,Trafficking of person.,376db,"\""Where a woman under twelve years of age is raped by one or more persons constituting a...",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,148,Conspiracy to commit offences punishable by section 147.,377,Unnatural offences,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
ipc_to_bns,332,House-trespass in order to commit offence.,385,"Putting or attempting to put in fear of injury, in order to commit extortion",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
ipc_to_bns,63,Rape.,40,“Offence”,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
ipc_to_bns,152,"Act endangering sovereignty, unity and integrity of India.",490,On refusal to disclose the name and address of the printer,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
ipc_to_bns,113,Terrorist act.,5,"Explanation 4 omitted by Act 39 of 1920, s. 2 Earlier Explanation Four was ins. By Act 2 of 1958, s. 2 (w.e.f. 12-2-1958).",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 3)
ipc_to_bns,1,"Short title, commencement and application",50,“Section”,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 7)
ipc_to_bns,5,Commutation of sentence,58,[ Offenders sentenced to transportation how dealt with until transported .] Rep. by the Code of,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,2,Definitions,6,Definitions in the Code to be understood subject to exceptions,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 6)
ipc_to_bns,340,Forged document or electronic record and using it as genuine.,65,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable",auto,DROPPED (unsupported keyword): matched via keyword overlap (score 5)
ipc_to_bns,128,Force.,66,Description of imprisonment for non-payment of fine,auto,DROPPED (unsupported keyword): matched via keyword overlap (score 4)
