direction,bnss_section_id,bnss_title,crpc_section_id,crpc_title,bridge_kind,mapping_note
crpc_to_bnss,38,Right of arrested person to meet an advocate of his choice during interrogation .—When any,41b,Procedure of arrest and duties of officer making arrest. —Every police officer while making,manual,manual: right to meet advocate during interrogation (CrPC §41B → BNSS §38)
bnss_to_crpc,40,Any private person may arrest or cause to be arrested any person who in his,43,Arrest by private person and procedure on such arrest. —(1) Any private person may arrest or,auto,"shared_keywords=['arrest', 'private']; title_jaccard=0.50"
crpc_to_bnss,40,Any private person may arrest or cause to be arrested any person who in his,43,Arrest by private person and procedure on such arrest. —(1) Any private person may arrest or,auto,"shared_keywords=['arrest', 'private']; title_jaccard=0.50"
bnss_to_crpc,43,In making an arrest the police officer or other person making the same shall,46,Arrest how made. —(1) In making an arrest the police officer or other p erson making the same shall,auto,"shared_keywords=['arrest', 'making', 'officer', 'police', 'same']; title_jaccard=0.71"
crpc_to_bnss,43,In making an arrest the police officer or other person making the same shall,46,Arrest how made. —(1) In making an arrest the police officer or other p erson making the same shall,auto,"shared_keywords=['arrest', 'making', 'officer', 'police', 'same']; title_jaccard=0.71"
bnss_to_crpc,45,"A police officer may, for the purpose of arresting without warrant any person",48,"Pursuit of off enders into other jurisdictions. —A police officer may, for the purpose of arresting",auto,"shared_keywords=['arresting', 'officer', 'police', 'purpose']; title_jaccard=0.44"
crpc_to_bnss,45,"A police officer may, for the purpose of arresting without warrant any person",48,"Pursuit of off enders into other jurisdictions. —A police officer may, for the purpose of arresting",auto,"shared_keywords=['arresting', 'officer', 'police', 'purpose']; title_jaccard=0.44"
bnss_to_crpc,46,The person arrested shall not be subjected to more restraint than is necessary to,49,No unnecessary restraint. —The person arrested shall not be subje cted to more restraint than is,auto,"shared_keywords=['arrested', 'more', 'restraint', 'than']; title_jaccard=0.44"
crpc_to_bnss,46,The person arrested shall not be subjected to more restraint than is necessary to,49,No unnecessary restraint. —The person arrested shall not be subje cted to more restraint than is,auto,"shared_keywords=['arrested', 'more', 'restraint', 'than']; title_jaccard=0.44"
bnss_to_crpc,47,Person arrested to be informed of grounds of arrest and of right to bail .—(1) Every police,50,Person arrested to be informed of grounds of arrest and of right to bail. —(1) Every police officer,manual,manual: inform arrestee of grounds and bail rights (CrPC §50 → BNSS §47)
crpc_to_bnss,47,Person arrested to be informed of grounds of arrest and of right to bail .—(1) Every police,50,Person arrested to be informed of grounds of arrest and of right to bail. —(1) Every police officer,manual,manual: inform arrestee of grounds and bail rights (CrPC §50 → BNSS §47)
bnss_to_crpc,48,"Obligation of person making arrest to inform about arrest, etc., to relative or friend .—(1)",50a,"Obligation of person making arrest to inform about the arrest, etc., to a nominated person.—(1)",manual,manual: inform relatives/friends of arrest (CrPC §50A → BNSS §48)
crpc_to_bnss,48,"Obligation of person making arrest to inform about arrest, etc., to relative or friend .—(1)",50a,"Obligation of person making arrest to inform about the arrest, etc., to a nominated person.—(1)",manual,manual: inform relatives/friends of arrest (CrPC §50A → BNSS §48)
bnss_to_crpc,50,Power to seize offensive weapons .—The police officer or other person making any arrest under,52,Power to seize offensive weapons. —The officer or other person making any arrest under this Code may,manual,manual: seize offensive weapons on arrest (CrPC §52 → BNSS §50)
crpc_to_bnss,50,Power to seize offensive weapons .—The police officer or other person making any arrest under,52,Power to seize offensive weapons. —The officer or other person making any arrest under this Code may,manual,manual: seize offensive weapons on arrest (CrPC §52 → BNSS §50)
bnss_to_crpc,52,Examination of person accused of rape by medical practitioner.—(1) When a person is arrested,53a,Examination of person accused of rape by medical practitioner .—(1) When a person is arrested on a,manual,manual: medical exam of rape accused (CrPC §53A → BNSS §52)
crpc_to_bnss,52,Examination of person accused of rape by medical practitioner.—(1) When a person is arrested,53a,Examination of person accused of rape by medical practitioner .—(1) When a person is arrested on a,manual,manual: medical exam of rape accused (CrPC §53A → BNSS §52)
bnss_to_crpc,53,"When any person is arrested, he shall be examined by a medical officer in the",54,"Examination of arrested person by medical officer. —(1) When any person is arrested, he shall be",auto,"shared_keywords=['arrested', 'medical', 'officer']; title_jaccard=0.60"
crpc_to_bnss,53,"When any person is arrested, he shall be examined by a medical officer in the",54,"Examination of arrested person by medical officer. —(1) When any person is arrested, he shall be",auto,"shared_keywords=['arrested', 'medical', 'officer']; title_jaccard=0.60"
bnss_to_crpc,54,Where a person is arrested on a charge of committing an offence and his,54a,Identification of person arrested .—Where a person is arrested on a charge of committing an offe nce,auto,"shared_keywords=['arrested', 'charge', 'committing']; title_jaccard=0.50"
crpc_to_bnss,54,Where a person is arrested on a charge of committing an offence and his,54a,Identification of person arrested .—Where a person is arrested on a charge of committing an offe nce,auto,"shared_keywords=['arrested', 'charge', 'committing']; title_jaccard=0.50"
bnss_to_crpc,55,When any officer in charge of a police station or any police officer making an,166,When officer in charge of police station may require another to issue search -warrant.—(1) An officer,auto,"shared_keywords=['charge', 'officer', 'police', 'station']; title_jaccard=0.40"
crpc_to_bnss,55,When any officer in charge of a police station or any police officer making an,166,When officer in charge of police station may require another to issue search -warrant.—(1) An officer,auto,"shared_keywords=['charge', 'officer', 'police', 'station']; title_jaccard=0.40"
bnss_to_crpc,56,It shall be the duty of the person having the custody of an accused to take,55a,Health and safety of arrested person. —It shall be the duty of the person having the custody,auto,"shared_keywords=['custody', 'duty', 'having']; title_jaccard=0.38"
crpc_to_bnss,56,It shall be the duty of the person having the custody of an accused to take,55a,Health and safety of arrested person. —It shall be the duty of the person having the custody,auto,"shared_keywords=['custody', 'duty', 'having']; title_jaccard=0.38"
bnss_to_crpc,57,"A police officer making an arrest without warrant shall, without unnecessary",41,When police may arrest without warrant.—(1) Any police officer may without an order from a,auto,"shared_keywords=['arrest', 'officer', 'police', 'warrant', 'without']; title_jaccard=0.71"
crpc_to_bnss,57,"A police officer making an arrest without warrant shall, without unnecessary",41,When police may arrest without warrant.—(1) Any police officer may without an order from a,auto,"shared_keywords=['arrest', 'officer', 'police', 'warrant', 'without']; title_jaccard=0.71"
bnss_to_crpc,58,No police officer shall detain in custody a person arrested without warrant for a,51,Search of arrested person. —(1) Whenever a person is arrested by a police officer under a warrant which,auto,"shared_keywords=['arrested', 'officer', 'police', 'warrant']; title_jaccard=0.44"
crpc_to_bnss,58,No police officer shall detain in custody a person arrested without warrant for a,51,Search of arrested person. —(1) Whenever a person is arrested by a police officer under a warrant which,auto,"shared_keywords=['arrested', 'officer', 'police', 'warrant']; title_jaccard=0.44"
bnss_to_crpc,59,"Officers in charge of police stations shall report to the District Magistrate, or, if",58,Police to report apprehensions.—Officers in charge of police stations shall report to the District,auto,"shared_keywords=['charge', 'district', 'officers', 'police', 'report', 'stations']; title_jaccard=0.75"
crpc_to_bnss,59,"Officers in charge of police stations shall report to the District Magistrate, or, if",58,Police to report apprehensions.—Officers in charge of police stations shall report to the District,auto,"shared_keywords=['charge', 'district', 'officers', 'police', 'report', 'stations']; title_jaccard=0.75"
bnss_to_crpc,60,No person who has been arrested by a police officer shall be discharged except,59,Discharge of person apprehended .—No person who ha s been arrested by a police officer shall,auto,"shared_keywords=['arrested', 'officer', 'police']; title_jaccard=0.43"
crpc_to_bnss,60,No person who has been arrested by a police officer shall be discharged except,59,Discharge of person apprehended .—No person who ha s been arrested by a police officer shall,auto,"shared_keywords=['arrested', 'officer', 'police']; title_jaccard=0.43"
bnss_to_crpc,61,"If a person in lawful custody escapes or is rescued, the person from whose",60,"Power, on escape, to pursue and retake .—(1) If a person in lawful custody escapes or is",auto,"shared_keywords=['custody', 'escapes', 'lawful']; title_jaccard=0.43"
crpc_to_bnss,61,"If a person in lawful custody escapes or is rescued, the person from whose",60,"Power, on escape, to pursue and retake .—(1) If a person in lawful custody escapes or is",auto,"shared_keywords=['custody', 'escapes', 'lawful']; title_jaccard=0.43"
bnss_to_crpc,62,No arrest shall be made except in accordance with the provisions of this Sanhita,60a,Arrest to be made strictly according to the Code. —No arrest shall be made except in,auto,"shared_keywords=['arrest', 'except', 'made']; title_jaccard=0.38"
crpc_to_bnss,62,No arrest shall be made except in accordance with the provisions of this Sanhita,60a,Arrest to be made strictly according to the Code. —No arrest shall be made except in,auto,"shared_keywords=['arrest', 'except', 'made']; title_jaccard=0.38"
bnss_to_crpc,63,"Every summons issued by a Court under this Sanhita shall be,",61,"Form of summons .—Every summons issued by a Court under this Code shall be in writing, in",auto,"shared_keywords=['issued', 'summons']; title_jaccard=0.40"
crpc_to_bnss,63,"Every summons issued by a Court under this Sanhita shall be,",61,"Form of summons .—Every summons issued by a Court under this Code shall be in writing, in",auto,"shared_keywords=['issued', 'summons']; title_jaccard=0.40"
bnss_to_crpc,64,"Every summons shall be served by a police officer, or subject to such rules as",62,"Summons how served .—(1) Every summons shall be served by a police officer, or subject to",auto,"shared_keywords=['officer', 'police', 'served', 'subject', 'summons']; title_jaccard=0.83"
crpc_to_bnss,64,"Every summons shall be served by a police officer, or subject to such rules as",62,"Summons how served .—(1) Every summons shall be served by a police officer, or subject to",auto,"shared_keywords=['officer', 'police', 'served', 'subject', 'summons']; title_jaccard=0.83"
bnss_to_crpc,65,Service of a summons on a company or corporation may be effected by serving,68,Proof of service in s uch cases and when serving officer not present .—(1) When a summons issued by a,auto,"shared_keywords=['service', 'serving', 'summons']; title_jaccard=0.27"
crpc_to_bnss,65,Service of a summons on a company or corporation may be effected by serving,68,Proof of service in s uch cases and when serving officer not present .—(1) When a summons issued by a,auto,"shared_keywords=['service', 'serving', 'summons']; title_jaccard=0.27"
bnss_to_crpc,66,"Where the person summoned cannot, by the exercise of due diligence, be found,",64,"Service when persons summoned cannot be found. —Where the person summoned cannot, by the exercise",auto,"shared_keywords=['cannot', 'exercise', 'found', 'summoned']; title_jaccard=0.67"
crpc_to_bnss,66,"Where the person summoned cannot, by the exercise of due diligence, be found,",64,"Service when persons summoned cannot be found. —Where the person summoned cannot, by the exercise",auto,"shared_keywords=['cannot', 'exercise', 'found', 'summoned']; title_jaccard=0.67"
bnss_to_crpc,67,If service cannot by the exercise of due diligence be effected as provided in,65,Procedure when service cannot be effected as before provided. —If service cannot by the exercise of due,auto,"shared_keywords=['cannot', 'effected', 'exercise', 'provided', 'service']; title_jaccard=0.71"
crpc_to_bnss,67,If service cannot by the exercise of due diligence be effected as provided in,65,Procedure when service cannot be effected as before provided. —If service cannot by the exercise of due,auto,"shared_keywords=['cannot', 'effected', 'exercise', 'provided', 'service']; title_jaccard=0.71"
bnss_to_crpc,68,"Where the person summoned is in the active service of the Government, the",66,Service on Government servant. —(1) Where the person su mmoned is in the active service of the,auto,"shared_keywords=['active', 'government', 'service']; title_jaccard=0.50"
crpc_to_bnss,68,"Where the person summoned is in the active service of the Government, the",66,Service on Government servant. —(1) Where the person su mmoned is in the active service of the,auto,"shared_keywords=['active', 'government', 'service']; title_jaccard=0.50"
bnss_to_crpc,70,"When a summons issued by a Court is served outside its local jurisdiction, and",67,Service of summons outside local limits. —When a Court desires that a summons issued by it shall be,auto,"shared_keywords=['issued', 'local', 'outside', 'summons']; title_jaccard=0.44"
crpc_to_bnss,70,"When a summons issued by a Court is served outside its local jurisdiction, and",67,Service of summons outside local limits. —When a Court desires that a summons issued by it shall be,auto,"shared_keywords=['issued', 'local', 'outside', 'summons']; title_jaccard=0.44"
bnss_to_crpc,71,"Notwithstanding anything contained in the preceding sections of this Chapter,",69,S ervice of summons on witness by post .—(1) Notwithstanding anything contained in the preceding,auto,"shared_keywords=['anything', 'contained', 'notwithstanding', 'preceding']; title_jaccard=0.40"
crpc_to_bnss,71,"Notwithstanding anything contained in the preceding sections of this Chapter,",69,S ervice of summons on witness by post .—(1) Notwithstanding anything contained in the preceding,auto,"shared_keywords=['anything', 'contained', 'notwithstanding', 'preceding']; title_jaccard=0.40"
bnss_to_crpc,72,"Every warrant of arrest issued by a Court under this Sanhita shall be in writing,",70,Form of warrant of arrest and duration .—(1) Every warrant of arrest issued by a Court under this Code,auto,"shared_keywords=['arrest', 'issued', 'warrant']; title_jaccard=0.43"
crpc_to_bnss,72,"Every warrant of arrest issued by a Court under this Sanhita shall be in writing,",70,Form of warrant of arrest and duration .—(1) Every warrant of arrest issued by a Court under this Code,auto,"shared_keywords=['arrest', 'issued', 'warrant']; title_jaccard=0.43"
bnss_to_crpc,74,A warrant of arrest shall ordinarily be directed to one or more police officers;,72,Warrants to whom directed .—(1) A warrant of arrest shall ordinarily be directed to one or more police,auto,"shared_keywords=['arrest', 'directed', 'more', 'ordinarily', 'police', 'warrant']; title_jaccard=0.75"
crpc_to_bnss,74,A warrant of arrest shall ordinarily be directed to one or more police officers;,72,Warrants to whom directed .—(1) A warrant of arrest shall ordinarily be directed to one or more police,auto,"shared_keywords=['arrest', 'directed', 'more', 'ordinarily', 'police', 'warrant']; title_jaccard=0.75"
bnss_to_crpc,75,The Chief Judicial Magistrate or a Magistrate of the first class may direct a,73,Warrant may be directed to any person .—(1) The Chief Judicial Magistrat e or a Magistrate of the first,auto,"shared_keywords=['chief', 'first', 'judicial', 'magistrate']; title_jaccard=0.44"
crpc_to_bnss,75,The Chief Judicial Magistrate or a Magistrate of the first class may direct a,73,Warrant may be directed to any person .—(1) The Chief Judicial Magistrat e or a Magistrate of the first,auto,"shared_keywords=['chief', 'first', 'judicial', 'magistrate']; title_jaccard=0.44"
bnss_to_crpc,76,A warrant directed to any police officer may also be executed by any other police,74,Warrant directed to police officer. —A warrant directed to any police officer may also be executed by any,auto,"shared_keywords=['also', 'directed', 'executed', 'officer', 'police', 'warrant']; title_jaccard=1.00"
crpc_to_bnss,76,A warrant directed to any police officer may also be executed by any other police,74,Warrant directed to police officer. —A warrant directed to any police officer may also be executed by any,auto,"shared_keywords=['also', 'directed', 'executed', 'officer', 'police', 'warrant']; title_jaccard=1.00"
bnss_to_crpc,77,The police officer or other person executing a warrant of arrest shall notify the,75,Notification of substance of warrant. —The police officer or other person executing a warrant of arrest,auto,"shared_keywords=['arrest', 'executing', 'officer', 'police', 'warrant']; title_jaccard=0.62"
crpc_to_bnss,77,The police officer or other person executing a warrant of arrest shall notify the,75,Notification of substance of warrant. —The police officer or other person executing a warrant of arrest,auto,"shared_keywords=['arrest', 'executing', 'officer', 'police', 'warrant']; title_jaccard=0.62"
bnss_to_crpc,79,A warrant of arrest may be executed at any place in India,77,Where warrant may be executed.—A warrant of arrest may be executed at any place in India,auto,"shared_keywords=['arrest', 'executed', 'india', 'place', 'warrant']; title_jaccard=1.00"
crpc_to_bnss,79,A warrant of arrest may be executed at any place in India,77,Where warrant may be executed.—A warrant of arrest may be executed at any place in India,auto,"shared_keywords=['arrest', 'executed', 'india', 'place', 'warrant']; title_jaccard=1.00"
bnss_to_crpc,80,When a warrant is to be executed outside the local jurisdiction of the Court,78,Warrant forwarded for execution outside jurisdiction.—(1) When a warrant is to be executed outside the,auto,"shared_keywords=['executed', 'jurisdiction', 'outside', 'warrant']; title_jaccard=0.57"
crpc_to_bnss,80,When a warrant is to be executed outside the local jurisdiction of the Court,78,Warrant forwarded for execution outside jurisdiction.—(1) When a warrant is to be executed outside the,auto,"shared_keywords=['executed', 'jurisdiction', 'outside', 'warrant']; title_jaccard=0.57"
bnss_to_crpc,81,When a warrant directed to a police officer is to be executed beyond the local,79,Warrant directed to police officer for execution outside jurisdiction. —(1) When a warrant directed to a,auto,"shared_keywords=['directed', 'officer', 'police', 'warrant']; title_jaccard=0.40"
crpc_to_bnss,81,When a warrant directed to a police officer is to be executed beyond the local,79,Warrant directed to police officer for execution outside jurisdiction. —(1) When a warrant directed to a,auto,"shared_keywords=['directed', 'officer', 'police', 'warrant']; title_jaccard=0.40"
