bnss_section_id,bnss_title,crpc_section_id,crpc_title,score,reason,drop_reason
41,"( 1) When any offence is committed in the presence of a Magistrate, whether",103,Magistrate may direct search in his presence .—Any Magistrate may direct a search to be,2.857,"shared_keywords=['magistrate', 'presence']; title_jaccard=0.29",score=2.857; jaccard=0.29
138,"If any person, in respect of whom an order requiring security is made under",119,"Commencement of period for which security is required.—(1) If any person, in respect of whom an",2.857,"shared_keywords=['respect', 'security']; title_jaccard=0.29",score=2.857; jaccard=0.29
241,For every distinct offence of which any person is accused there shall be a,218,Separate charges for distinct offences. —(1) For every distinct offence of which any person is,2.857,"shared_keywords=['distinct', 'offence']; title_jaccard=0.29",score=2.857; jaccard=0.29
245,"When a person is charged with an offence consisting of several particulars,",222,When offence proved included in offence charged. —(1) When a person is charged with an,2.857,"shared_keywords=['charged', 'offence']; title_jaccard=0.29",score=2.857; jaccard=0.29
269,"If, when such evidence has been taken, or at any previous stage of the case,",246,"Procedure where accused is not discharged .—(1) If, when such evidence has been taken, or at any",2.857,"shared_keywords=['evidence', 'taken']; title_jaccard=0.29",score=2.857; jaccard=0.29
409,"In any case submitted under section 407, the High Court",368,Power of High Court to confirm sentence or annul conviction. —In any ca se submitted under,2.857,"shared_keywords=['high', 'submitted']; title_jaccard=0.29",score=2.857; jaccard=0.29
413,No appeal shall lie from any judgment or order of a Criminal Court except as,372,No appeal to lie unless otherwise provided. —No appeal shall lie from any judgment or order of a,2.857,"shared_keywords=['appeal', 'judgment']; title_jaccard=0.29",score=2.857; jaccard=0.29
484,When any person has reason to believe that he may be arrested on an,438,Direction for grant of ba il to person apprehending arrest .—(1) When any person has reason to believe,2.857,"shared_keywords=['believe', 'reason']; title_jaccard=0.29",score=2.857; jaccard=0.29
508,"If any Magistrate not empowered by law to do any of the following things,",460,Irregularities which do not vitiate proceedings. —If any Magistrate not empowered by law to do any of,2.857,"shared_keywords=['empowered', 'magistrate']; title_jaccard=0.29",score=2.857; jaccard=0.29
39,"When any person who, in the presence of a police officer, has committed or",41a,"Notice of appearance before police officer. —(1) 3[The police officer shall], in all cases",2.850,"shared_keywords=['officer', 'police']; title_jaccard=0.25",score=2.85; jaccard=0.25
73,Any Court issuing a warrant for the arrest of any person may in its discretion,71,Power to direct security to be taken .—(1) Any Court issuing a warra nt for the arrest of any person may,2.850,"shared_keywords=['arrest', 'issuing']; title_jaccard=0.25",score=2.85; jaccard=0.25
90,"A Court may, in any case in which it is empowered by this Sanhita to issue a",87,"Issue of warrant in lieu of, or in addition to, summons. —A Court may, in any case in which it",2.850,"shared_keywords=['case', 'issue']; title_jaccard=0.25",score=2.85; jaccard=0.25
52,When a person is arrested on a charge of committing an offence of rape or an,53a,Examination of person accused of rape by medical practitioner .—(1) When a person is arrested on a,2.767,"shared_keywords=['arrested', 'rape']; title_jaccard=0.22",score=2.767; jaccard=0.22
83,The Executive Magistrate or District Superintendent of Police or Commissioner,81,Procedure by Magistrate before whom such person arrested is brought. —(1) The Executive Magistrate,2.767,"shared_keywords=['executive', 'magistrate']; title_jaccard=0.22",score=2.767; jaccard=0.22
5,"In view of the above, it is proposed to repeal the Code of Criminal Procedure, 1973",484,"Repeal and savings.—(1) The Code of Criminal Procedure, 1898 (5 of 1898), is hereby repealed",2.750,"shared_keywords=['criminal', 'repeal']; title_jaccard=0.25",score=2.75; jaccard=0.25
33,"Every person, aware of the commission of, or of the intention of any other",39,"Public to give information of certain offences .—(1) Every person, aware of the commission of,",2.750,"shared_keywords=['aware', 'commission']; title_jaccard=0.25",score=2.75; jaccard=0.25
117,Where any officer conducting an inquiry or investigation under section 116,105e,Seizure or attachment of property .—(1) Where any office r conducting an inquiry or,2.750,"shared_keywords=['conducting', 'inquiry']; title_jaccard=0.25",score=2.75; jaccard=0.25
120,"The Court may, after considering the explanation, if any, to the show-cause",135,Person to whom order is addressed to obey or show cause.—The person against whom such order is,2.750,"shared_keywords=['cause', 'show']; title_jaccard=0.25",score=2.75; jaccard=0.25
145,Proceedings under section 144 may be taken against any person in any,303,Right of person against whom proceedings are instituted to be defe nded.—Any person accused of an,2.750,"shared_keywords=['against', 'proceedings']; title_jaccard=0.25",score=2.75; jaccard=0.25
155,If the person against whom an order is made under section 154 does not perform,136,Consequences of his failing to do so .—If such person does not perform such act or appear and show,2.750,"shared_keywords=['does', 'perform']; title_jaccard=0.25",score=2.75; jaccard=0.25
216,A witness or any other person may file a complaint in relation to an offence,195a,"Procedure for witnesses in case of threatening, etc .—A witness or any other person may file a",2.750,"shared_keywords=['file', 'witness']; title_jaccard=0.25",score=2.75; jaccard=0.25
292,"Where in a meeting under section 291, a satisfactory disposition of the case has",265d,Report of the mutually satisfactory disposition to be submitted before the Court .—Where in a,2.750,"shared_keywords=['disposition', 'satisfactory']; title_jaccard=0.25",score=2.75; jaccard=0.25
328,Any document purporting to be a report under the hand of any such officer,291a,Identification report of Magistrate .—(1) Any document purporti ng to be a report of identification,2.750,"shared_keywords=['document', 'report']; title_jaccard=0.25",score=2.75; jaccard=0.25
345,"Where, in regard to a person who has accepted a tender of pardon made",308,"Trial of person not complying with conditions of pardon .—(1) Where, in regard to a person who has",2.750,"shared_keywords=['pardon', 'regard']; title_jaccard=0.25",score=2.75; jaccard=0.25
363,"Where a person, having been convicted of an offence punishable under",300,Person once convicted or acquitted not to be tried for same offence .—(1) A person who has once been,2.750,"shared_keywords=['convicted', 'offence']; title_jaccard=0.25",score=2.75; jaccard=0.25
369,Whenever a person if found under section 367 or section 368 to be incapable,330,Release of person of unsound mind pending investigation or trial. —(1) Whenever a person if found,2.750,"shared_keywords=['found', 'whenever']; title_jaccard=0.25",score=2.75; jaccard=0.25
394,"When any person, having been convicted by a Court in India of an offence",356,"Order for notifying address of previously convicted offender. —(1) When any person, having been",2.750,"shared_keywords=['convicted', 'having']; title_jaccard=0.25",score=2.75; jaccard=0.25
431,"When an appeal is presented under section 419, the High Court may issue a",379,"Appeal against conviction by High Court in certain cases. —Where the High Court has, on appeal,",2.750,"shared_keywords=['appeal', 'high']; title_jaccard=0.25",score=2.75; jaccard=0.25
452,Any District Magistrate or Sub-Divisional Magistrate may,143,Magistrate may prohibit repetition or continuance of public nuisance .—A District Magistrate or,2.750,"shared_keywords=['district', 'magistrate']; title_jaccard=0.25",score=2.75; jaccard=0.25
477,"The powers conferred by sections 474 and 475 upon the State Government may,",8,"Metropolitan areas.—(1) The State Government may, by notification, declare that, as from such",2.750,"shared_keywords=['government', 'state']; title_jaccard=0.25",score=2.75; jaccard=0.25
501,"When any person is convicted of any offence which includes, or amounts to,",456,Power to restore possession of immovable property. —(1) When a person is convicted of an offence,2.750,"shared_keywords=['convicted', 'offence']; title_jaccard=0.25",score=2.75; jaccard=0.25
506,"If no person within such period establishes his claim to such property, and if",458,Procedure where no claimant appears within six months. —(1) If no person within such period,2.750,"shared_keywords=['period', 'within']; title_jaccard=0.25",score=2.75; jaccard=0.25
129,When an Executive Magistrate receives information that there is within his local,129,Dispersal of assembly by use of civil force .—(1) Any Executive Magistrate or officer in charge of a,2.712,"shared_keywords=['executive', 'magistrate']; title_jaccard=0.15",score=2.712; jaccard=0.15
10,"In every district, the High Court shall appoint a Judicial Magistrate of the first",15,Subordination of Ju dicial Magistrates. —(1) Every Chief Judicial Magistrate shall be,2.700,"shared_keywords=['judicial', 'magistrate']; title_jaccard=0.20",score=2.7; jaccard=0.2
14,"In every district, the State Government may appoint as many persons as it",20,"Executive Magistrates. —(1) In every district and in every metropolitan area, the State",2.667,"shared_keywords=['district', 'state']; title_jaccard=0.22",score=2.667; jaccard=0.22
51,When a person is arrested on a charge of committing an offence of such a,213,When manner of committing offence must be stated. —When the nature of the case is such,2.667,"shared_keywords=['committing', 'offence']; title_jaccard=0.22",score=2.667; jaccard=0.22
112,"If, in the course of an investigation into an offence, an application is made by",319,"Power to proceed against other persons appearing to be guilty of offence.—(1) Where, in the course of",2.667,"shared_keywords=['course', 'offence']; title_jaccard=0.22",score=2.667; jaccard=0.22
125,When a Court of Session or Court of a Magistrate of the first class convicts,106,Security for keeping the peace on conviction .—(1) When a Court of Session or Court of a Magistrate of,2.667,"shared_keywords=['magistrate', 'session']; title_jaccard=0.22",score=2.667; jaccard=0.22
142,Whenever the District Magistrate in the case of an order passed by an,205,Magistrate may dispense with personal attendance of accused. —(1) Whenever a Magistrate,2.667,"shared_keywords=['magistrate', 'whenever']; title_jaccard=0.22",score=2.667; jaccard=0.22
165,If the Magistrate at any time after making the order under sub-section (1) of,146,Power to attach subject of dispute and to appoint receiver.—(1) If the Magistrate at any time,2.667,"shared_keywords=['magistrate', 'time']; title_jaccard=0.22",score=2.667; jaccard=0.22
174,When information is given to an officer in charge of a police station of the,155,Information as to non-cognizable cases and investigation of such cases.—(1) When information is given to,2.667,"shared_keywords=['given', 'information']; title_jaccard=0.22",score=2.667; jaccard=0.22
183,( 1) Any Judicial Magistrate of the District in which the information about,164,"Recording of confessions and statements.—(1) Any Metropolitan Magistrate or Judicial Magistrate may,",2.667,"shared_keywords=['judicial', 'magistrate']; title_jaccard=0.22",score=2.667; jaccard=0.22
193,( 1) Every investigation under this Chapter shall be completed without,167,Procedure when investigation cannot be completed in twenty -four hours.—(1) Whenever any person,2.667,"shared_keywords=['completed', 'investigation']; title_jaccard=0.22",score=2.667; jaccard=0.22
276,Where a summons has been issued under section 229 and the accused,253,Conviction on plea of guilty in absence of accused in petty cases .—(1) Where a summons has been,2.667,"shared_keywords=['accused', 'summons']; title_jaccard=0.22",score=2.667; jaccard=0.22
306,The provisions of this Chapter shall be without prejudice to the power of the,90,Provisions of this Chapter generally applicable to summonses and warrants of arrest. —The,2.667,"shared_keywords=['chapter', 'provisions']; title_jaccard=0.22",score=2.667; jaccard=0.22
368,"If at the trial of any person before a Magistrate or Court of Session, it appears",329,Procedure in case of person of unsound mind tried before Court .—(1) If at the trial of any person,2.667,"shared_keywords=['before', 'trial']; title_jaccard=0.22",score=2.667; jaccard=0.22
374,Whenever the finding states that the accused person committed the act,281,Record of examination of accused. —(1) Whenever the accused is examined by a Metropolitan,2.667,"shared_keywords=['accused', 'whenever']; title_jaccard=0.22",score=2.667; jaccard=0.22
445,When the record of any trial held by a Magistrate is called for by the High Court,17,Chief Metropolitan Magistrate and Additional Chief Metropolitan Magistrate.—(1) The High,2.667,"shared_keywords=['high', 'magistrate']; title_jaccard=0.22",score=2.667; jaccard=0.22
456,Where a person is sentenced to death by the High Court and an appeal from,415,Postponement of execution of sentence of death in case of appeal to Supreme Court. —(1) Where a,2.667,"shared_keywords=['appeal', 'death']; title_jaccard=0.22",score=2.667; jaccard=0.22
469,"Where an accused person has, on conviction, been sentenced to imprisonment",428,Period of detention und ergone by the accused to be set off against the sentence of imprisonment,2.667,"shared_keywords=['accused', 'imprisonment']; title_jaccard=0.22",score=2.667; jaccard=0.22
478,The powers conferred by sections 474 and 475 upon the State Government to,41c,Control room at districts.—(1) The State Government shall establish a police control room,2.667,"shared_keywords=['government', 'state']; title_jaccard=0.22",score=2.667; jaccard=0.22
481,"Where a person has, during the period of investigation, inquiry or trial under",436a,"Maximum period for which an undertrial prisoner can be detained .—Where a person has, during",2.667,"shared_keywords=['during', 'period']; title_jaccard=0.22",score=2.667; jaccard=0.22
493,"Where a bond under this Sanhita is for appearance, or for production of",124,Security for unexpired period of bond.—(1) When a person for whose appearance a summons or warrant,2.667,"shared_keywords=['appearance', 'bond']; title_jaccard=0.22",score=2.667; jaccard=0.22
88,"If the proclaimed person appears within the time specified in the proclamation,",85,"Release, sale and restoration of attached property. —(1) If the proclaimed person appears",2.645,"shared_keywords=['appears', 'proclaimed']; title_jaccard=0.18",score=2.645; jaccard=0.18
116,"The Court shall, under sub-section ( 1), or on receipt of a letter of request",166a,Letter of request to competent authority for investigation in a country or place outside India,2.600,"shared_keywords=['letter', 'request']; title_jaccard=0.20",score=2.6; jaccard=0.2
124,"The Central Government may, by notification in the Official Gazette, direct that",105l,"Application of this Chapter. —The Central Gover nment may, by notification in the",2.600,"shared_keywords=['central', 'notification']; title_jaccard=0.20",score=2.6; jaccard=0.2
186,An officer in charge of a police station or a police officer not being below the,269,Officer in charge of prison to abstain from carrying out order in certain contingencies. —Where the,2.600,"shared_keywords=['charge', 'officer']; title_jaccard=0.20",score=2.6; jaccard=0.2
222,No Court shall take cognizance of an offence punishable under Chapter XIX,27,Jurisdiction in the case of juveniles. —Any offence not punishable with death or imprisonment,2.600,"shared_keywords=['offence', 'punishable']; title_jaccard=0.20",score=2.6; jaccard=0.2
357,"If the accused, though not a person with mental illness, cannot be made to",318,"Procedure where accused does not understand proceedings. —If the accused, though not of unsound",2.600,"shared_keywords=['accused', 'though']; title_jaccard=0.20",score=2.6; jaccard=0.2
495,"When any surety to a bond under this Sanhita becomes insolvent or dies, or",447,Procedure in case of insolvency of death of surety or when a bond is forfeited. —When any surety to a,2.600,"shared_keywords=['bond', 'surety']; title_jaccard=0.20",score=2.6; jaccard=0.2
512,"No finding, sentence or order by a Court of competent jurisdiction shall be",464,"Effect of omission to frame, or absence of, or error in, charge. —(1) No finding, sentence or order by a",2.600,"shared_keywords=['finding', 'sentence']; title_jaccard=0.20",score=2.6; jaccard=0.2
38,"When any person is arrested and interrogated by the police, he shall be entitled",57,Person arrested not to be detained more than twenty -four h ours.—No police officer shall,2.545,"shared_keywords=['arrested', 'police']; title_jaccard=0.18",score=2.545; jaccard=0.18
42,"Notwithstanding anything contained in sections 39 to 41 (both inclusive), no",433a,Restriction on powers of remission or commutation in certain cases. —Notwithstanding anything,2.545,"shared_keywords=['anything', 'notwithstanding']; title_jaccard=0.18",score=2.545; jaccard=0.18
93,"The provisions contained in this Chapter relating to summons and warrant, and",271,Power to issue commission for examination of witness in prison. —The provisions of this Chapter shall,2.545,"shared_keywords=['chapter', 'provisions']; title_jaccard=0.18",score=2.545; jaccard=0.18
144,If any person having sufficient means neglects or refuses to maintain,125,"Order for maintenance of wives, children and parents .—(1) If any person having su fficient means",2.545,"shared_keywords=['having', 'means']; title_jaccard=0.18",score=2.545; jaccard=0.18
163,"( 1) In cases where, in the opinion of a District Magistrate, a Sub-divisional",478,Power to alter functio ns allocated to Executive Magistrate in certain cases. —If the Legislative,2.545,"shared_keywords=['cases', 'magistrate']; title_jaccard=0.18",score=2.545; jaccard=0.18
166,Whenever an Executive Magistrate is satisfied from the report of a police,325,Procedure when Magistrate cannot pass sentence sufficiently severe.—(1) Whenever a Magistrate is of,2.545,"shared_keywords=['magistrate', 'whenever']; title_jaccard=0.18",score=2.545; jaccard=0.18
307,"The State Government may determine what shall be, for purposes of this Sanhita,",435,State Government to act after consultation with Central Government in certain cases. —(1) The,2.545,"shared_keywords=['government', 'state']; title_jaccard=0.18",score=2.545; jaccard=0.18
348,"Any Court may, at any stage of any inquiry, trial or other proceeding under this",186,"High Court to decide, in case of doubt, district where inquiry or trial shall take place .—Where two or",2.545,"shared_keywords=['inquiry', 'trial']; title_jaccard=0.18",score=2.545; jaccard=0.18
364,"Whenever a Magistrate is of opinion, after hearing the evidence for the",326,Conviction or commitment on evidence partly recorded by one Magistrate and partl y by,2.545,"shared_keywords=['evidence', 'magistrate']; title_jaccard=0.18",score=2.545; jaccard=0.18
391,"Except as provided in sections 383, 384, 388 and 389, no Judge of a Criminal Court",273,"Evidence to be taken in presence of accused. —Except as otherwise expressly provided, all evidence",2.545,"shared_keywords=['except', 'provided']; title_jaccard=0.18",score=2.545; jaccard=0.18
511,If any Court before which a confession or other statement of an accused,437a,Bail to require accused to appear before next appellate Court. —(1) Before conclusion of the trial,2.545,"shared_keywords=['accused', 'before']; title_jaccard=0.18",score=2.545; jaccard=0.18
118,The Court may appoint the District Magistrate of the area where the property,94,"Search of place suspected to contain stolen property, forged documents, etc.—(1) If a District",2.500,"shared_keywords=['district', 'property']; title_jaccard=0.17",score=2.5; jaccard=0.17
201,"Any offence of dacoity, or of dacoity with murder, of belonging to a gang of",181,"Place of trial in case of certain offences .—(1) Any offence of being a thug, or murder committed by a",2.500,"shared_keywords=['murder', 'offence']; title_jaccard=0.17",score=2.5; jaccard=0.17
231,"Where, in a case instituted otherwise than on a police report, it appears to the",210,Procedure to be followed when there is a complaint case and police investigation in respect,2.500,"shared_keywords=['case', 'police']; title_jaccard=0.17",score=2.5; jaccard=0.17
443,Whenever one or more persons convicted at the same trial makes or make,402,Power of High Court to withdraw or transfer revision cases. —(1) Whenever one or more persons,2.500,"shared_keywords=['more', 'whenever']; title_jaccard=0.17",score=2.5; jaccard=0.17
390,Any person sentenced by any Court other than a High Court under section,350,(1) Any person sentenced by any,2.000,shared_keywords=['sentenced']; title_jaccard=0.33,score=2.0; jaccard=0.33
