direction,bsa_section_id,bsa_title,evidence_section_id,evidence_title,bridge_kind,mapping_note
bsa_to_evidence,16,"Statements made by a party to the proceeding, or by an agent to any such",18,Admission by party to proceeding or his agent by suitor in representative character,auto,"shared_keywords=['agent', 'party', 'proceeding']; title_jaccard=0.33"
evidence_to_bsa,16,"Statements made by a party to the proceeding, or by an agent to any such",18,Admission by party to proceeding or his agent by suitor in representative character,auto,"shared_keywords=['agent', 'party', 'proceeding']; title_jaccard=0.33"
bsa_to_evidence,18,Statements made by persons to whom a party to the suit has expressly referred,20,Admissions by persons expressly referred to by party to suit,auto,"shared_keywords=['expressly', 'party', 'referred', 'suit']; title_jaccard=0.57"
evidence_to_bsa,18,Statements made by persons to whom a party to the suit has expressly referred,20,Admissions by persons expressly referred to by party to suit,auto,"shared_keywords=['expressly', 'party', 'referred', 'suit']; title_jaccard=0.57"
bsa_to_evidence,19,Admissions are relevant and may be proved as against the person who makes,19,Admissions by persons whose position must be proved as against party to suit,auto,"shared_keywords=['admissions', 'against', 'proved']; title_jaccard=0.33"
evidence_to_bsa,19,Admissions are relevant and may be proved as against the person who makes,19,Admissions by persons whose position must be proved as against party to suit,auto,"shared_keywords=['admissions', 'against', 'proved']; title_jaccard=0.33"
bsa_to_evidence,20,"Oral admissions as to the contents of a document are not relevant, unless and",22,When oral admissions as to contents of documents are relevant,auto,"shared_keywords=['admissions', 'contents', 'oral', 'relevant']; title_jaccard=0.57"
evidence_to_bsa,20,"Oral admissions as to the contents of a document are not relevant, unless and",22,When oral admissions as to contents of documents are relevant,auto,"shared_keywords=['admissions', 'contents', 'oral', 'relevant']; title_jaccard=0.57"
bsa_to_evidence,21,"In civil cases no admission is relevant, if it is made either upon an express condition",23,"Admissions in civil cases, when relevant",auto,"shared_keywords=['cases', 'civil', 'relevant']; title_jaccard=0.33"
evidence_to_bsa,21,"In civil cases no admission is relevant, if it is made either upon an express condition",23,"Admissions in civil cases, when relevant",auto,"shared_keywords=['cases', 'civil', 'relevant']; title_jaccard=0.33"
bsa_to_evidence,22,"A confession made by an accused person is irrelevant in a criminal proceeding, if",24,"Confession caused by inducement, threat or promise, when irrelevant in criminal proceeding",manual,manual: confession caused by inducement/threat (Evidence §24 → BSA §22)
evidence_to_bsa,22,"A confession made by an accused person is irrelevant in a criminal proceeding, if",24,"Confession caused by inducement, threat or promise, when irrelevant in criminal proceeding",manual,manual: confession caused by inducement/threat (Evidence §24 → BSA §22)
bsa_to_evidence,23,No confession made to a police officer shall be proved as against a person,25,Confession to police officer not to be proved,auto,"shared_keywords=['confession', 'officer', 'police', 'proved']; title_jaccard=0.67"
evidence_to_bsa,23,No confession made to a police officer shall be proved as against a person,25,Confession to police officer not to be proved,auto,"shared_keywords=['confession', 'officer', 'police', 'proved']; title_jaccard=0.67"
bsa_to_evidence,24,"When more persons than one are being tried jointly for the same offence, and a",30,Consideration of proved confession affecting person making it and others jointly under trial for same offence,auto,"shared_keywords=['jointly', 'offence', 'same']; title_jaccard=0.23"
evidence_to_bsa,24,"When more persons than one are being tried jointly for the same offence, and a",30,Consideration of proved confession affecting person making it and others jointly under trial for same offence,auto,"shared_keywords=['jointly', 'offence', 'same']; title_jaccard=0.23"
bsa_to_evidence,25,Admissions are not conclusive proof of the matters admitted but they may operate,31,"Admissions not conclusive proof, but may estop",auto,"shared_keywords=['admissions', 'conclusive', 'proof']; title_jaccard=0.38"
evidence_to_bsa,25,Admissions are not conclusive proof of the matters admitted but they may operate,31,"Admissions not conclusive proof, but may estop",auto,"shared_keywords=['admissions', 'conclusive', 'proof']; title_jaccard=0.38"
bsa_to_evidence,28,"Entries in the books of account, including those maintained in an electronic form,",34,Entries in books of account including those maintained in an electronic form when relevant,auto,"shared_keywords=['account', 'books', 'electronic', 'entries', 'form', 'including', 'maintained', 'those']; title_jaccard=0.89"
evidence_to_bsa,28,"Entries in the books of account, including those maintained in an electronic form,",34,Entries in books of account including those maintained in an electronic form when relevant,auto,"shared_keywords=['account', 'books', 'electronic', 'entries', 'form', 'including', 'maintained', 'those']; title_jaccard=0.89"
bsa_to_evidence,29,"An entry in any public or other official book, register or record or an electronic",35,Relevancy of entry in public record or an electronic record made in performance of duty,auto,"shared_keywords=['electronic', 'entry', 'public', 'record']; title_jaccard=0.36"
evidence_to_bsa,29,"An entry in any public or other official book, register or record or an electronic",35,Relevancy of entry in public record or an electronic record made in performance of duty,auto,"shared_keywords=['electronic', 'entry', 'public', 'record']; title_jaccard=0.36"
bsa_to_evidence,30,"Statements of facts in issue or relevant facts, made in published maps or charts",36,"Relevancy of statements in maps, charts and plans",auto,"shared_keywords=['charts', 'maps', 'statements']; title_jaccard=0.30"
evidence_to_bsa,30,"Statements of facts in issue or relevant facts, made in published maps or charts",36,"Relevancy of statements in maps, charts and plans",auto,"shared_keywords=['charts', 'maps', 'statements']; title_jaccard=0.30"
bsa_to_evidence,33,"When any statement of which evidence is given forms part of a longer statement,",39,"What evidence to be given when statement forms part of a conversation, document, electronic record, book or series of letters or papers",auto,"shared_keywords=['evidence', 'forms', 'given', 'part', 'statement']; title_jaccard=0.33"
evidence_to_bsa,33,"When any statement of which evidence is given forms part of a longer statement,",39,"What evidence to be given when statement forms part of a conversation, document, electronic record, book or series of letters or papers",auto,"shared_keywords=['evidence', 'forms', 'given', 'part', 'statement']; title_jaccard=0.33"
bsa_to_evidence,36,"Judgments, orders or decrees other than those mentioned in section 35 are relevant",43,"Judgments, etc., other than those mentioned in sections 40 to 42, when relevant",auto,"shared_keywords=['judgments', 'mentioned', 'relevant', 'than', 'those']; title_jaccard=0.62"
evidence_to_bsa,36,"Judgments, orders or decrees other than those mentioned in section 35 are relevant",43,"Judgments, etc., other than those mentioned in sections 40 to 42, when relevant",auto,"shared_keywords=['judgments', 'mentioned', 'relevant', 'than', 'those']; title_jaccard=0.62"
bsa_to_evidence,37,"Judgments or orders or decrees, other than those mentioned in sections 34, 35",42,"Relevancy and effect of judgments, orders or decrees, other than those mentioned in section 41",auto,"shared_keywords=['decrees', 'judgments', 'mentioned', 'orders', 'than', 'those']; title_jaccard=0.67"
evidence_to_bsa,37,"Judgments or orders or decrees, other than those mentioned in sections 34, 35",42,"Relevancy and effect of judgments, orders or decrees, other than those mentioned in section 41",auto,"shared_keywords=['decrees', 'judgments', 'mentioned', 'orders', 'than', 'those']; title_jaccard=0.67"
bsa_to_evidence,42,When the Court has to form an opinion as to the existence of any general custom,48,"Opinion as to existence of right or custom, when relevant",auto,"shared_keywords=['custom', 'existence', 'opinion']; title_jaccard=0.43"
evidence_to_bsa,42,When the Court has to form an opinion as to the existence of any general custom,48,"Opinion as to existence of right or custom, when relevant",auto,"shared_keywords=['custom', 'existence', 'opinion']; title_jaccard=0.43"
bsa_to_evidence,44,When the Court has to form an opinion as to the relationship of one person to,50,"Opinion or relationship, when relevant",auto,"shared_keywords=['opinion', 'relationship']; title_jaccard=0.50"
evidence_to_bsa,44,When the Court has to form an opinion as to the relationship of one person to,50,"Opinion or relationship, when relevant",auto,"shared_keywords=['opinion', 'relationship']; title_jaccard=0.50"
bsa_to_evidence,45,"Whenever the opinion of any living person is relevant, the grounds on which",45,Opinions of experts,manual,manual: expert opinion (Evidence §45 → BSA §45)
evidence_to_bsa,45,"Whenever the opinion of any living person is relevant, the grounds on which",45,Opinions of experts,manual,manual: expert opinion (Evidence §45 → BSA §45)
bsa_to_evidence,47,"In criminal proceedings the fact that the person accused is of a good character, is",53,"In criminal cases, previous good character relevant",auto,"shared_keywords=['character', 'criminal', 'good']; title_jaccard=0.33"
evidence_to_bsa,47,"In criminal proceedings the fact that the person accused is of a good character, is",53,"In criminal cases, previous good character relevant",auto,"shared_keywords=['character', 'criminal', 'good']; title_jaccard=0.33"
bsa_to_evidence,50,"In civil cases, the fact that the character of any person is such as to affect the",52,"In civil cases character to prove conduct imputed, irrelevant",auto,"shared_keywords=['cases', 'character', 'civil']; title_jaccard=0.33"
evidence_to_bsa,50,"In civil cases, the fact that the character of any person is such as to affect the",52,"In civil cases character to prove conduct imputed, irrelevant",auto,"shared_keywords=['cases', 'character', 'civil']; title_jaccard=0.33"
bsa_to_evidence,51,No fact of which the Court will take judicial notice need be proved,57,Facts of which Court must take judicial notice,manual,manual: judicial notice — facts need not be proved (Evidence §57 → BSA §51)
evidence_to_bsa,51,No fact of which the Court will take judicial notice need be proved,57,Facts of which Court must take judicial notice,manual,manual: judicial notice — facts need not be proved (Evidence §57 → BSA §51)
bsa_to_evidence,52,"The Court shall take judicial notice of the following facts, namely:",57,Facts of which Court must take judicial notice,auto,"shared_keywords=['facts', 'judicial', 'notice', 'take']; title_jaccard=0.57"
evidence_to_bsa,52,"The Court shall take judicial notice of the following facts, namely:",57,Facts of which Court must take judicial notice,auto,"shared_keywords=['facts', 'judicial', 'notice', 'take']; title_jaccard=0.57"
bsa_to_evidence,54,"All facts, except the contents of documents may be proved by oral evidence",59,Proof of facts by oral evidence,auto,"shared_keywords=['evidence', 'facts', 'oral']; title_jaccard=0.38"
evidence_to_bsa,54,"All facts, except the contents of documents may be proved by oral evidence",59,Proof of facts by oral evidence,auto,"shared_keywords=['evidence', 'facts', 'oral']; title_jaccard=0.38"
bsa_to_evidence,55,"Oral evidence shall, in all cases whatever, be direct; if it refers to,",60,Oral evidence must be direct,auto,"shared_keywords=['direct', 'evidence', 'oral']; title_jaccard=0.43"
evidence_to_bsa,55,"Oral evidence shall, in all cases whatever, be direct; if it refers to,",60,Oral evidence must be direct,auto,"shared_keywords=['direct', 'evidence', 'oral']; title_jaccard=0.43"
bsa_to_evidence,57,Primary evidence means the document itself produced for the inspection of the,62,Primary evidence,manual,manual: primary evidence definition (Evidence §62 → BSA §57)
evidence_to_bsa,57,Primary evidence means the document itself produced for the inspection of the,62,Primary evidence,manual,manual: primary evidence definition (Evidence §62 → BSA §57)
bsa_to_evidence,58,Secondary evidence includes,63,Secondary evidence,manual,manual: secondary evidence definition (Evidence §63 → BSA §58)
evidence_to_bsa,58,Secondary evidence includes,63,Secondary evidence,manual,manual: secondary evidence definition (Evidence §63 → BSA §58)
bsa_to_evidence,59,Documents shall be proved by primary evidence except in the cases hereinafter,64,Proof of documents by primary evidence,auto,"shared_keywords=['documents', 'evidence', 'primary']; title_jaccard=0.38"
evidence_to_bsa,59,Documents shall be proved by primary evidence except in the cases hereinafter,64,Proof of documents by primary evidence,auto,"shared_keywords=['documents', 'evidence', 'primary']; title_jaccard=0.38"
bsa_to_evidence,60,"Secondary evidence may be given of the existence, condition, or contents of a",65,Cases in which secondary evidence relating to documents may be given,manual,manual: when secondary evidence admissible (Evidence §65 → BSA §60)
evidence_to_bsa,60,"Secondary evidence may be given of the existence, condition, or contents of a",65,Cases in which secondary evidence relating to documents may be given,manual,manual: when secondary evidence admissible (Evidence §65 → BSA §60)
bsa_to_evidence,62,The contents of electronic records may be proved in accordance with the,65b,Admissibility of electronic records,manual,manual: electronic records admissibility (Evidence §65B → BSA §62)
evidence_to_bsa,62,The contents of electronic records may be proved in accordance with the,65b,Admissibility of electronic records,manual,manual: electronic records admissibility (Evidence §65B → BSA §62)
bsa_to_evidence,65,If a document is alleged to be signed or to have been written wholly or in part by,67,Proof of signature and handwriting of person alleged to have signed or written document produced,manual,manual: proof of signature/handwriting (Evidence §67 → BSA §65; not Evidence §65)
evidence_to_bsa,65,If a document is alleged to be signed or to have been written wholly or in part by,67,Proof of signature and handwriting of person alleged to have signed or written document produced,manual,manual: proof of signature/handwriting (Evidence §67 → BSA §65; not Evidence §65)
bsa_to_evidence,67,"If a document is required by law to be attested, it shall not be used as evidence",68,Proof of execution of document required by law to be attested,auto,"shared_keywords=['attested', 'document', 'required']; title_jaccard=0.43"
evidence_to_bsa,67,"If a document is required by law to be attested, it shall not be used as evidence",68,Proof of execution of document required by law to be attested,auto,"shared_keywords=['attested', 'document', 'required']; title_jaccard=0.43"
bsa_to_evidence,68,"If no such attesting witness can be found, it must be proved that the attestation",69,Proof where no attesting witness found,auto,"shared_keywords=['attesting', 'found', 'witness']; title_jaccard=0.43"
evidence_to_bsa,68,"If no such attesting witness can be found, it must be proved that the attestation",69,Proof where no attesting witness found,auto,"shared_keywords=['attesting', 'found', 'witness']; title_jaccard=0.43"
bsa_to_evidence,69,The admission of a party to an attested document of its execution by himself,70,Admission of execution by party to attested document,auto,"shared_keywords=['admission', 'attested', 'document', 'execution', 'party']; title_jaccard=0.83"
evidence_to_bsa,69,The admission of a party to an attested document of its execution by himself,70,Admission of execution by party to attested document,auto,"shared_keywords=['admission', 'attested', 'document', 'execution', 'party']; title_jaccard=0.83"
bsa_to_evidence,70,"If the attesting witness denies or does not recollect the execution of the document,",71,Proof when attesting witness denies the execution,auto,"shared_keywords=['attesting', 'denies', 'execution', 'witness']; title_jaccard=0.50"
evidence_to_bsa,70,"If the attesting witness denies or does not recollect the execution of the document,",71,Proof when attesting witness denies the execution,auto,"shared_keywords=['attesting', 'denies', 'execution', 'witness']; title_jaccard=0.50"
bsa_to_evidence,71,An attested document not required by law to be attested may be proved as if it,72,Proof of document not required by law to be attested,auto,"shared_keywords=['attested', 'document', 'required']; title_jaccard=0.60"
evidence_to_bsa,71,An attested document not required by law to be attested may be proved as if it,72,Proof of document not required by law to be attested,auto,"shared_keywords=['attested', 'document', 'required']; title_jaccard=0.60"
bsa_to_evidence,72,"In order to ascertain whether a signature, writing or seal is that of the person",73,"Comparison of signature, writing or seal with others admitted or proved",auto,"shared_keywords=['seal', 'signature', 'writing']; title_jaccard=0.33"
evidence_to_bsa,72,"In order to ascertain whether a signature, writing or seal is that of the person",73,"Comparison of signature, writing or seal with others admitted or proved",auto,"shared_keywords=['seal', 'signature', 'writing']; title_jaccard=0.33"
bsa_to_evidence,74,The following documents are public documents:,74,Public documents,auto,"shared_keywords=['documents', 'public']; title_jaccard=0.67"
evidence_to_bsa,74,The following documents are public documents:,74,Public documents,auto,"shared_keywords=['documents', 'public']; title_jaccard=0.67"
bsa_to_evidence,76,Such certified copies may be produced in proof of the contents of the public,76,Certified copies of public documents,auto,"shared_keywords=['certified', 'copies', 'public']; title_jaccard=0.43"
evidence_to_bsa,76,Such certified copies may be produced in proof of the contents of the public,76,Certified copies of public documents,auto,"shared_keywords=['certified', 'copies', 'public']; title_jaccard=0.43"
bsa_to_evidence,82,The Court shall presume that maps or plans purporting to be made by the authority,83,Presumption as to maps or plans made by authority of Government,auto,"shared_keywords=['authority', 'made', 'maps', 'plans']; title_jaccard=0.50"
evidence_to_bsa,82,The Court shall presume that maps or plans purporting to be made by the authority,83,Presumption as to maps or plans made by authority of Government,auto,"shared_keywords=['authority', 'made', 'maps', 'plans']; title_jaccard=0.50"
bsa_to_evidence,91,"The Court shall presume that every document, called for and not produced after",163,"Giving, as evidence, of document called for and produced on notice",auto,"shared_keywords=['called', 'document', 'produced']; title_jaccard=0.38"
evidence_to_bsa,91,"The Court shall presume that every document, called for and not produced after",163,"Giving, as evidence, of document called for and produced on notice",auto,"shared_keywords=['called', 'document', 'produced']; title_jaccard=0.38"
bsa_to_evidence,93,"Where any electronic record, purporting or proved to be five years old, is produced",90a,Presumption as to electronic records five years old,auto,"shared_keywords=['electronic', 'five', 'years']; title_jaccard=0.33"
evidence_to_bsa,93,"Where any electronic record, purporting or proved to be five years old, is produced",90a,Presumption as to electronic records five years old,auto,"shared_keywords=['electronic', 'five', 'years']; title_jaccard=0.33"
bsa_to_evidence,98,"When language used in a document is plain in itself, but is unmeaning in reference",95,Evidence as to document unmeaning in reference to existing facts,auto,"shared_keywords=['document', 'reference', 'unmeaning']; title_jaccard=0.33"
evidence_to_bsa,98,"When language used in a document is plain in itself, but is unmeaning in reference",95,Evidence as to document unmeaning in reference to existing facts,auto,"shared_keywords=['document', 'reference', 'unmeaning']; title_jaccard=0.33"
bsa_to_evidence,100,"When the language used applies partly to one set of existing facts, and partly to",97,"Evidence as to application of language to one of two sets of facts, to neither of which the whole correctly applies",auto,"shared_keywords=['applies', 'facts', 'language']; title_jaccard=0.25"
evidence_to_bsa,100,"When the language used applies partly to one set of existing facts, and partly to",97,"Evidence as to application of language to one of two sets of facts, to neither of which the whole correctly applies",auto,"shared_keywords=['applies', 'facts', 'language']; title_jaccard=0.25"
bsa_to_evidence,101,Evidence may be given to show the meaning of illegible or not commonly,101,Burden of proof,manual,manual: burden of proof (Evidence §101 → BSA §101)
evidence_to_bsa,101,Evidence may be given to show the meaning of illegible or not commonly,101,Burden of proof,manual,manual: burden of proof (Evidence §101 → BSA §101)
bsa_to_evidence,102,"Persons who are not parties to a document, or their representatives in interest,",102,On whom burden of proof lies,manual,manual: on whom burden lies (Evidence §102 → BSA §102)
evidence_to_bsa,102,"Persons who are not parties to a document, or their representatives in interest,",102,On whom burden of proof lies,manual,manual: on whom burden lies (Evidence §102 → BSA §102)
bsa_to_evidence,105,The burden of proof in a suit or proceeding lies on that person who would fail if,102,On whom burden of proof lies,auto,"shared_keywords=['burden', 'lies', 'proof']; title_jaccard=0.43"
evidence_to_bsa,105,The burden of proof in a suit or proceeding lies on that person who would fail if,102,On whom burden of proof lies,auto,"shared_keywords=['burden', 'lies', 'proof']; title_jaccard=0.43"
bsa_to_evidence,106,The burden of proof as to any particular fact lies on that person who wishes the,103,Burden of proof as to particular fact,auto,"shared_keywords=['burden', 'fact', 'particular', 'proof']; title_jaccard=0.67"
evidence_to_bsa,106,The burden of proof as to any particular fact lies on that person who wishes the,103,Burden of proof as to particular fact,auto,"shared_keywords=['burden', 'fact', 'particular', 'proof']; title_jaccard=0.67"
bsa_to_evidence,107,The burden of proving any fact necessary to be proved in order to enable any,104,Burden of proving fact to be proved to make evidence admissible,auto,"shared_keywords=['burden', 'fact', 'proved', 'proving']; title_jaccard=0.44"
evidence_to_bsa,107,The burden of proving any fact necessary to be proved in order to enable any,104,Burden of proving fact to be proved to make evidence admissible,auto,"shared_keywords=['burden', 'fact', 'proved', 'proving']; title_jaccard=0.44"
bsa_to_evidence,108,"When a person is accused of any offence, the burden of proving the existence of",105,Burden of proving that case of accused comes within exceptions,auto,"shared_keywords=['accused', 'burden', 'proving']; title_jaccard=0.33"
evidence_to_bsa,108,"When a person is accused of any offence, the burden of proving the existence of",105,Burden of proving that case of accused comes within exceptions,auto,"shared_keywords=['accused', 'burden', 'proving']; title_jaccard=0.33"
bsa_to_evidence,109,"When any fact is especially within the knowledge of any person, the burden of",106,Burden of proving fact especially within knowledge,auto,"shared_keywords=['burden', 'especially', 'fact', 'knowledge', 'within']; title_jaccard=0.83"
evidence_to_bsa,109,"When any fact is especially within the knowledge of any person, the burden of",106,Burden of proving fact especially within knowledge,auto,"shared_keywords=['burden', 'especially', 'fact', 'knowledge', 'within']; title_jaccard=0.83"
bsa_to_evidence,112,"When the question is whether persons are partners, landlord and tenant, or",109,"Burden of proof as to relationship in the cases of partners, landlord and tenant, principal and agent",auto,"shared_keywords=['landlord', 'partners', 'tenant']; title_jaccard=0.27"
evidence_to_bsa,112,"When the question is whether persons are partners, landlord and tenant, or",109,"Burden of proof as to relationship in the cases of partners, landlord and tenant, principal and agent",auto,"shared_keywords=['landlord', 'partners', 'tenant']; title_jaccard=0.27"
bsa_to_evidence,123,No acceptor of a bill of exchange shall be permitted to deny that the drawer had,117,"Estoppel of acceptor of bill of exchange, bailee or licensee",auto,"shared_keywords=['acceptor', 'bill', 'exchange']; title_jaccard=0.33"
evidence_to_bsa,123,No acceptor of a bill of exchange shall be permitted to deny that the drawer had,117,"Estoppel of acceptor of bill of exchange, bailee or licensee",auto,"shared_keywords=['acceptor', 'bill', 'exchange']; title_jaccard=0.33"
bsa_to_evidence,126,"In all civil proceedings the parties to the suit, and the husband or wife of any",120,"Parties to civil suit, and their wives or husbands. Husband or wife of person under criminal trial",auto,"shared_keywords=['civil', 'husband', 'parties', 'suit', 'wife']; title_jaccard=0.45"
evidence_to_bsa,126,"In all civil proceedings the parties to the suit, and the husband or wife of any",120,"Parties to civil suit, and their wives or husbands. Husband or wife of person under criminal trial",auto,"shared_keywords=['civil', 'husband', 'parties', 'suit', 'wife']; title_jaccard=0.45"
bsa_to_evidence,136,No one shall be compelled to produce documents in his possession or electronic,131,"Production of documents or electronic records which another person, having possession, could refuse to produce",auto,"shared_keywords=['documents', 'electronic', 'possession', 'produce']; title_jaccard=0.36"
evidence_to_bsa,136,No one shall be compelled to produce documents in his possession or electronic,131,"Production of documents or electronic records which another person, having possession, could refuse to produce",auto,"shared_keywords=['documents', 'electronic', 'possession', 'produce']; title_jaccard=0.36"
bsa_to_evidence,137,A witness shall not be excused from answering any question as to any matter,132,Witness not excused from answering on ground that answer will criminate,auto,"shared_keywords=['answering', 'excused', 'witness']; title_jaccard=0.33"
evidence_to_bsa,137,A witness shall not be excused from answering any question as to any matter,132,Witness not excused from answering on ground that answer will criminate,auto,"shared_keywords=['answering', 'excused', 'witness']; title_jaccard=0.33"
bsa_to_evidence,145,Witnesses to character may be cross-examined and re-examined,140,Witnesses to character,auto,"shared_keywords=['character', 'witnesses']; title_jaccard=0.50"
evidence_to_bsa,145,Witnesses to character may be cross-examined and re-examined,140,Witnesses to character,auto,"shared_keywords=['character', 'witnesses']; title_jaccard=0.50"
bsa_to_evidence,146,Any question suggesting the answer which the person putting it wishes or,141,Leading questions,manual,manual: leading questions (Evidence §141 → BSA §146)
evidence_to_bsa,146,Any question suggesting the answer which the person putting it wishes or,141,Leading questions,manual,manual: leading questions (Evidence §141 → BSA §146)
bsa_to_evidence,148,A witness may be cross-examined as to previous statements made by him in,145,Cross-examination as to previous statements in writing,auto,"shared_keywords=['cross', 'previous', 'statements']; title_jaccard=0.38"
evidence_to_bsa,148,A witness may be cross-examined as to previous statements made by him in,145,Cross-examination as to previous statements in writing,auto,"shared_keywords=['cross', 'previous', 'statements']; title_jaccard=0.38"
bsa_to_evidence,153,If the Court is of opinion that any such question was asked without reasonable,149,Question not to be asked without reasonable grounds,auto,"shared_keywords=['asked', 'question', 'reasonable', 'without']; title_jaccard=0.67"
evidence_to_bsa,153,If the Court is of opinion that any such question was asked without reasonable,149,Question not to be asked without reasonable grounds,auto,"shared_keywords=['asked', 'question', 'reasonable', 'without']; title_jaccard=0.67"
bsa_to_evidence,156,When a witness has been asked and has answered any question which is relevant,148,Court to decide when question shall be asked and when witness compelled to answer,auto,"shared_keywords=['asked', 'question', 'witness']; title_jaccard=0.38"
evidence_to_bsa,156,When a witness has been asked and has answered any question which is relevant,148,Court to decide when question shall be asked and when witness compelled to answer,auto,"shared_keywords=['asked', 'question', 'witness']; title_jaccard=0.38"
bsa_to_evidence,161,"Whenever any statement, relevant under section 26 or 27, is proved, all matters",158,What matters may be proved in connection with proved statement relevant under section 32 or 33,auto,"shared_keywords=['matters', 'proved', 'relevant', 'statement']; title_jaccard=0.57"
evidence_to_bsa,161,"Whenever any statement, relevant under section 26 or 27, is proved, all matters",158,What matters may be proved in connection with proved statement relevant under section 32 or 33,auto,"shared_keywords=['matters', 'proved', 'relevant', 'statement']; title_jaccard=0.57"
bsa_to_evidence,163,A witness may also testify to facts mentioned in any such document as is,160,Testimony to facts stated in document mentioned in section 159,auto,"shared_keywords=['document', 'facts', 'mentioned']; title_jaccard=0.38"
evidence_to_bsa,163,A witness may also testify to facts mentioned in any such document as is,160,Testimony to facts stated in document mentioned in section 159,auto,"shared_keywords=['document', 'facts', 'mentioned']; title_jaccard=0.38"
bsa_to_evidence,169,The improper admission or rejection of evidence shall not be ground of itself for,167,No new trial for improper admission or rejection of evidence,auto,"shared_keywords=['admission', 'evidence', 'improper', 'rejection']; title_jaccard=0.57"
evidence_to_bsa,169,The improper admission or rejection of evidence shall not be ground of itself for,167,No new trial for improper admission or rejection of evidence,auto,"shared_keywords=['admission', 'evidence', 'improper', 'rejection']; title_jaccard=0.57"
