direction,bns_section_id,bns_title,ipc_section_id,ipc_title,bridge_kind,mapping_note
bns_to_ipc,196,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony",153a,Promoting enmity between classes,auto,matched via shared concepts: promoting-enmity
bns_to_ipc,197,"Imputations, assertions prejudicial to national integration.",153b,"Imputations, assertions prejudicial to national integration",auto,matched via shared concepts: promoting-enmity
bns_to_ipc,198,"Public servant disobeying law, with intent to cause injury to any person.",166,Public servant disobeying a direction of the law with intent to cause injury to any person,auto,"matched via content overlap: disobey, injury, servant"
bns_to_ipc,199,Public servant disobeying direction under law,166a,Public servant disobeying direction under law,auto,"matched via content overlap: direction, disobey, servant"
bns_to_ipc,20,Act of a child under seven years of age.,317,Exposure of a child under 12 Years of age by parent or person having care of it with intention of wholly abandoning it,auto,"matched via content overlap: child, year"
bns_to_ipc,201,Public servant framing an incorrect document with intent to cause injury.,167,Public servant framing an incorrect document with intent to cause injury,auto,"matched via content overlap: document, fram, incorrect"
bns_to_ipc,202,Public servant unlawfully engaging in trade.,168,Public servant unlawfully engaging in trade,auto,"matched via content overlap: engag, servant, trade"
bns_to_ipc,203,Public servant unlawfully buying or bidding for property.,169,Public servant unlawfully buying or bidding for property,auto,"matched via content overlap: bidd, buy, property"
bns_to_ipc,204,Personating a public servant.,170,Personating a Public servant,auto,"matched via content overlap: personat, servant"
bns_to_ipc,205,Wearing garb or carrying token used by public servant with fraudulent intent.,140,"Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",auto,"matched via content overlap: carry, token, wear"
bns_to_ipc,206,Absconding to avoid service of summons or other proceeding.,172,Absconding to avoid service of summons or other proceeding from a public servant,auto,"matched via content overlap: abscond, avoid, proceed"
bns_to_ipc,207,"Preventing service of summons or other proceeding, or preventing publication thereof.",172,Absconding to avoid service of summons or other proceeding from a public servant,auto,"matched via content overlap: proceed, service, summon"
bns_to_ipc,208,Non-attendance in obedience to an order from public servant.,223,Escape from confinement negligently suffered by a public servant,auto,"matched via content overlap: from, servant"
bns_to_ipc,209,"Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023.",174a,Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code,auto,matched via content overlap: proclamation
bns_to_ipc,21,Act of a child above seven and under twelve years of age of immature understanding,376db,"\""Where a woman under twelve years of age is raped by one or more persons constituting a...",auto,"matched via content overlap: twelve, year"
bns_to_ipc,210,Omission to produce document or electronic record to public servant by person legally bound to produce it,175,Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document,auto,"matched via content overlap: bound, document, legally"
bns_to_ipc,211,Omission to give notice or information to public servant by person legally bound to give it.,176,Intentionally omitting to Give notice or information to a public servant by a person legally bound to Give such notice or information,auto,"matched via content overlap: bound, information, legally"
bns_to_ipc,212,Furnishing false information.,177,Knowingly furnishing false information to a public servant,auto,"matched via content overlap: false, furnish, information"
bns_to_ipc,213,Refusing oath or affirmation when duly required by public servant to make it.,178,Refusing oath when duly required to take oath by a public servant,auto,"matched via content overlap: duly, oath, refus"
bns_to_ipc,214,Refusing to answer public servant authorised to question.,178,Refusing oath when duly required to take oath by a public servant,auto,"matched via content overlap: refus, servant"
bns_to_ipc,215,Refusing to sign statement.,180,Refusing to sign statement made to a public servant when legally required to do so,auto,"matched via content overlap: refus, required, servant"
bns_to_ipc,216,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.,181,"Knowingly stating to a public servant, on oath as True that which is false",auto,"matched via content overlap: false, oath, servant"
bns_to_ipc,217,"False information, with intent to cause public servant to use his lawful power to injury of another person.",182,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,auto,"matched via content overlap: false, information, injury"
bns_to_ipc,218,Resistance to taking of property by lawful authority of a public servant.,183,Resistance to the taking of property by the lawful authority of a public servant,auto,"matched via content overlap: authority, lawful, property"
bns_to_ipc,219,Obstructing sale of property offered for sale by authority of public servant.,184,Obstructing sale of property offered for sale by authority of a public servant,auto,"matched via content overlap: authority, obstruct, offered"
bns_to_ipc,22,Act of a person of unsound mind.,491,"Being bound to attend on or supply the wants of a person who is helpless from youth, unsoundness of mind or disease, and voluntarily omitting to do so",auto,"matched via content overlap: mind, unsoundnes"
bns_to_ipc,220,Illegal purchase or bid for property offered for sale by authority of public servant.,184,Obstructing sale of property offered for sale by authority of a public servant,auto,"matched via content overlap: authority, offered, property"
bns_to_ipc,221,Obstructing public servant in discharge of public functions.,186,Obstructing public servant in discharge of his public functions,auto,"matched via content overlap: discharge, function, obstruct"
bns_to_ipc,222,Omission to assist public servant when bound by law to give assistance.,187,Omission to assist public servant when bound by law to give such assistance,auto,"matched via content overlap: assist, assistance, bound"
bns_to_ipc,223,Disobedience to order duly promulgated by public servant.,188,"Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",auto,"matched via content overlap: disobedience, lawfully, promulgated"
bns_to_ipc,224,Threat of injury to public servant.,189,"Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",auto,"matched via content overlap: injury, official, servant"
bns_to_ipc,225,Threat of injury to induce person to refrain from applying for protection to public servant.,190,Threatening any person to induce him to refrain From making a legal application for protection From injury,auto,"matched via content overlap: from, induce, injury"
bns_to_ipc,226,Attempt to commit suicide to compel or restrain exercise of lawful power.,309,Attempt to commit suicide,auto,"matched via content overlap: attempt, suicide"
bns_to_ipc,227,Giving false evidence.,191,give false evidence,auto,matched via shared concepts: false-evidence
bns_to_ipc,228,Fabricating false evidence.,191,give false evidence,auto,matched via shared concepts: false-evidence
bns_to_ipc,229,Punishment for false evidence.,193,Giving or fabricating false evidence in a judicial proceeding,auto,matched via shared concepts: false-evidence
bns_to_ipc,23,Act of a person incapable of judgment by reason of intoxication caused against his will,508,Act caused by inducing a person to believe that he will be rendered an object of Divine displeasure,auto,"matched via content overlap: that, will"
bns_to_ipc,230,Giving or fabricating false evidence with intent to procure conviction of capital offence.,195,Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards,auto,matched via shared concepts: false-evidence
bns_to_ipc,231,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment.,195,Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards,auto,matched via shared concepts: false-evidence
bns_to_ipc,232,Threatening any person to give false evidence,195a,Threatening any person to give false evidence,auto,matched via shared concepts: false-evidence
bns_to_ipc,233,Using evidence known to be false,196,Using in a judicial proceeding evidence known to be false or fabricated,auto,matched via shared concepts: false-evidence
bns_to_ipc,234,Issuing or signing false certificate.,197,Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence,auto,matched via shared concepts: false-evidence
bns_to_ipc,235,Using as true a certificate known to be false.,198,Using as a true certificate one known to be false in a material point,auto,matched via shared concepts: false-evidence
bns_to_ipc,236,False statement made in declaration which is by law receivable as evidence,199,False statement made in any declaration which by law receivable as evidence,auto,matched via shared concepts: false-evidence
bns_to_ipc,237,Using as true such declaration knowing it to be false,198,Using as a true certificate one known to be false in a material point,auto,matched via shared concepts: false-evidence
bns_to_ipc,238,"Causing disappearance of evidence of offence, or giving false information to screen offender.",201,"Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, If a capital offence",auto,"matched via content overlap: disappearance, evidence, false"
bns_to_ipc,239,Intentional omission to give information of offence by person bound to inform.,202,Intentional omission to give information of an offence by a person legally bound to inform,auto,"matched via content overlap: bound, inform, information"
bns_to_ipc,240,Giving false information respecting an offence committed.,203,Giving false information respecting an offence committed,auto,"matched via content overlap: false, information, respect"
bns_to_ipc,241,Destruction of document or electronic record to prevent its production as evidence,204,Secreting or destroying any document to prevent its production as evidence,auto,"matched via content overlap: destroy, document, evidence"
bns_to_ipc,242,False personation for purpose of act or proceeding in suit or prosecution.,205,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security",auto,"matched via content overlap: criminal, false, personation"
bns_to_ipc,243,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution.,206,"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture, or in satisfaction of a Fine under sentence, or in execution of a decree",auto,"matched via content overlap: concealment, execution, forfeiture"
bns_to_ipc,244,Fraudulent claim to property to prevent its seizure as forfeited or in execution.,206,"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture, or in satisfaction of a Fine under sentence, or in execution of a decree",auto,"matched via content overlap: execution, forfeiture, fraudulent"
bns_to_ipc,245,Fraudulently suffering decree for sum not due.,208,"Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied",auto,"matched via content overlap: decree, fraudulently, suffer"
bns_to_ipc,246,Dishonestly making false claim in Court.,209,False claim in a court of Justice,auto,"matched via content overlap: claim, court, false"
bns_to_ipc,247,Fraudulently obtaining decree for sum not due.,210,"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied",auto,"matched via content overlap: decree, fraudulently, obtain"
bns_to_ipc,248,False charge of offence made with intent to injure.,211,False charge of offence made with intent to injure,auto,"matched via content overlap: charge, false, injure"
bns_to_ipc,249,Harbouring offender.,213,"Taking gift, etc., to screen an offender from punishment, If the offence be capital",auto,"matched via content overlap: from, offender, screen"
bns_to_ipc,25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent.",322,"Voluntarily causes hurt, if the hurt which he intends to cause or knows himself to be likely to cause is grievous hurt",auto,"matched via content overlap: grievou, hurt, likely"
bns_to_ipc,250,"Taking gift, etc., to screen an offender from punishment.",213,"Taking gift, etc., to screen an offender from punishment, If the offence be capital",auto,"matched via content overlap: from, gift, offender"
bns_to_ipc,251,Offering gift or restoration of property in consideration of screening offender.,214,"Offering gift or restoration of property in consideration of screening offender, If the offence be capital",auto,"matched via content overlap: consideration, gift, offender"
bns_to_ipc,252,"Taking gift to help to recover stolen property, etc.",215,Taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender,auto,"matched via content overlap: gift, help, offender"
bns_to_ipc,253,Harbouring offender who has escaped from custody or whose apprehension has been ordered.,216,"Harbouring an offender who has escaped from custody, or whose apprehension has been ordered, If the offence be capital",auto,"matched via content overlap: apprehension, been, custody"
bns_to_ipc,254,Penalty for harbouring robbers or dacoits,216a,Harbouring robbers or dacoits,auto,"matched via content overlap: dacoit, harbour, robber"
bns_to_ipc,255,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.,217,"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture",auto,"matched via content overlap: direction, disobey, forfeiture"
bns_to_ipc,256,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture.,218,"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture",auto,"matched via content overlap: forfeiture, fram, from"
bns_to_ipc,257,"Public servant in judicial proceeding corruptly making report, etc., contrary to law.",219,"Public servant in a judicial proceeding corruptly Making and pronouncing an order, report, Verdict, or decision which he knows to be contrary to law",auto,"matched via content overlap: contrary, corruptly, decision"
bns_to_ipc,258,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law.,220,"Commitment for trial or confinement by a person Having authority, who Knows that he is Acting contrary to law",auto,"matched via content overlap: act, authority, commitment"
bns_to_ipc,259,Intentional omission to apprehend on part of public servant bound to apprehend.,221,"Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, If the offence be Capital",auto,"matched via content overlap: apprehend, bound, intentional"
bns_to_ipc,26,"Act not intended to cause death, done by consent in good faith for person's benefit.",304,"Culpable homicide not amounting to murder, If act by which the death is caused is done with intention of causing death, etc.",auto,matched via content overlap: death
bns_to_ipc,260,Intentional omission to apprehend on part of public servant bound to apprehend person under sentence or lawfully committed.,222,"Intentional omission to apprehend on the part of A public servant bound by law to apprehend person under sentence of a court of Justice, If under sentence of death",auto,"matched via content overlap: apprehend, bound, intentional"
bns_to_ipc,261,Escape from confinement or custody negligently suffered by public servant.,223,Escape from confinement negligently suffered by a public servant,auto,"matched via content overlap: confinement, escape, from"
bns_to_ipc,262,Resistance or obstruction by a person to his lawful apprehension.,224,Resistance or obstruction by a person to his lawful apprehension,auto,"matched via content overlap: apprehension, lawful, obstruction"
